auction id,kick timestamp,kick block,last bid block,lot,tab,number of bids,final lot,final bid,final price,discount OSM,ETH price OSM,discount uniswap,ETH price uniswap,winner,dealer,vault owner, kicker, kick gas price (wei), last bid gas price (wei),last bid timestamp, deal gas price (wei), deal timestamp
32,1576620267,9122596,9122682,50000.000000000000000000, 6074.545,2,46614.708152725114995155,6074.545415499245122930674473624006920120270774970,0.13031392142576623,0.14417444822100337,0.1522669207,0.15489707463066746,0.15419887627156842,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,15000000000,1576620750,8000000000,1576621621
33,1576620742,9122624,9122728,50000.000000000000000000, 6074.549,3,40971.224499183747009376,6074.549359103319202346940938223805205975158576778,0.1482637981499513,0.026290165530671948,0.1522669207,0.04385868731176759,0.15506473382381236,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576621763,101000000000,1576622376
34,1576620871,9122628,9122728,50000.000000000000000000, 6074.551,3,40971.239072350471075857,6074.551519776368784927048627279303464251360028912,0.1482637981499513,0.026290165530671948,0.1522669207,0.04385868731176759,0.15506473382381236,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,101000000000,1576621763,101000000000,1576622376
35,1576621041,9122642,9122728,50000.000000000000000000, 6074.551,3,40971.239072350471075857,6074.551519776368784927048627279303464251360028912,0.1482637981499513,0.026290165530671948,0.1522669207,0.04385868731176759,0.15506473382381236,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,101000000000,1576621763,101000000000,1576622376
36,1576621072,9122644,9122728,50000.000000000000000000, 6074.552,3,40971.249008603482196543,6074.552992962979592570390607387278399574775404192,0.1482637981499513,0.026290165530671948,0.1522669207,0.04385868731176759,0.15506473382381236,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,101000000000,1576621763,101000000000,1576622376
37,1576621165,9122647,9122728,50000.000000000000000000, 6074.552,3,40971.249008603482196543,6074.552992962979592570390607387278399574775404192,0.1482637981499513,0.026290165530671948,0.1522669207,0.04385868731176759,0.15506473382381236,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576621763,101000000000,1576622376
38,1576621611,9122681,9122768,50000.000000000000000000, 6074.552,4,40971.249008603482196543,6074.552992962979592570390607387278399574775404192,0.1482637981499513,0.026290165530671948,0.1522669207,0.04382886684662894,0.1550598977622237,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576622120,101000000000,1576623007
39,1576622024,9122709,9122773,50000.000000000000000000, 6074.552,3,40971.249008603482196543,6074.552992962979592570390607387278399574775404192,0.1482637981499513,0.026290165530671948,0.1522669207,0.04284097705453434,0.15489985947549142,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576622484,101000000000,1576623091
40,1576622422,9122732,9122805,50000.000000000000000000, 6074.552,3,44960.659817620374328640,6074.552992962979592571524754384913755334151627203,0.13510818163265303,0.1126885536823427,0.1522669207,0.1232794344990957,0.15410632184208034,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576623007,101000000000,1576623655
41,1576622501,9122736,9122805,50000.000000000000000000, 6074.563,3,44960.739610826183769852,6074.563773677923146222202640357761247808259064108,0.13510818163265306,0.11268855368234251,0.1522669207,0.12327943449909552,0.15410632184208034,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,101000000000,1576623007,101000000000,1576623655
42,1576622814,9122757,9122823,50000.000000000000000000, 6074.563,3,44960.739610826183769852,6074.563773677923146222202640357761247808259064108,0.13510818163265306,0.11268855368234251,0.1522669207,0.12045092533611704,0.15361073705214714,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576623259,101000000000,1576623869
43,1576623186,9122776,9122841,50000.000000000000000000, 6074.563,3,44960.739610826183769852,6074.563773677923146222202640357761247808259064108,0.13510818163265306,0.11268855368234251,0.1522669207,0.12006565283558847,0.15354347976987054,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576623584,101000000000,1576624202
44,1576623567,9122800,9122863,11678.619178781546634623, 1418.850,3,10501.587118223956818649,1418.850339800131994496865511981906428331491688606,0.13510818163265306,0.11268855368234251,0.1522669207,0.1212683598096359,0.15375363245527826,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,101000000000,1576623952,101000000000,1576624594
45,1576678168,9125939,9125992,250.000000000000000000,   28.312,3,214.242040371379217044,28.312987200561938600683999538591953185482388882,0.1321542081632653,0.1126885536823425,0.1489377926,0.14176657522089162,0.15398399124023757,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x306FAec108c32F16a9E4307F119439faB5F01fEa,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,35000000000,1576678603,35000000000,1576679210
46,1576678168,9125939,9125992,200.000000000000000000,   22.634,3,171.270458984094647161,22.634111888802036607619179921444022835483685690,0.13215420816326529,0.11268855368234268,0.1489377926,0.14176657522089178,0.15398399124023757,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x9631a838a81D4050C43c66Bc03A0CF414243F661,0x1902C1f2C1323790e99eaD68e8772738Fd49E0FC,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,35000000000,1576678603,35000000000,1576679210
